"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"85","0","0","0","0","4","-1","0","1","1","3","1","2"
"86","0","0","0","1","4","-1","0","2","2","4","2","3"
"87","0","0","0","2","4","-1","0","3","3","4","3","4"
"88","0","0","0","3","3","-1","0","4","4","4","4","4"
"89","0","-1","0","4","2","0","0","4","4","3","4","4"
"90","0","-1","0","4","1","0","0","4","4","2","4","3"
"91","0","-1","0","4","0","0","0","3","3","1","3","2"
"92","0","-1","0","3","0","0","0","2","2","0","2","1"
"93","0","-1","0","2","0","0","0","1","1","0","1","0"
"94","0","-1","0","1","0","0","0","0","0","0","0","0"
"95","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0"
