"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"37","-1","0","0","-1","3","0","3","0","-1","3","3","0"
"38","0","-1","0","-1","2","0","4","0","-1","2","2","0"
"39","0","-1","0","-1","1","0","4","1","-1","1","1","0"
"40","0","-1","0","0","0","0","4","2","-1","0","0","0"
"41","0","-1","0","0","0","0","3","3","0","0","0","0"
"42","0","-1","0","0","0","0","2","4","0","1","0","0"
"43","0","-1","0","0","0","0","1","4","0","2","0","0"
"44","0","-1","0","1","0","0","0","4","0","3","0","1"
"45","0","-1","0","2","0","0","0","3","0","4","0","2"
"46","0","-1","0","3","0","0","0","2","0","4","0","3"
"47","0","0","0","4","0","0","-1","1","0","4","0","4"
"48","0","0","0","4","0","0","-1","0","0","3","0","4"
"49","0","0","0","4","1","0","-1","0","0","2","0","4"
"50","0","0","0","3","2","0","-1","0","0","1","0","3"
"51","0","0","1","2","3","0","-1","0","1","0","0","2"
"52","0","0","2","1","4","0","-1","0","2","0","0","1"
"53","-1","0","3","0","4","0","0","0","3","0","0","0"
"54","-1","0","4","0","4","0","0","0","4","0","0","0"
"55","-1","0","4","0","3","0","0","0","4","0","0","0"
"56","-1","0","4","0","2","0","0","0","4","-1","0","0"
"57","-1","0","3","0","1","0","1","0","3","-1","0","0"
"58","-1","0","2","0","0","0","2","1","2","-1","0","0"
"59","-1","0","1","0","0","0","3","2","1","-1","0","0"
"60","-1","0","0","0","0","0","4","3","0","-1","0","0"
"61","-1","0","0","0","-1","0","4","4","0","-1","0","0"
"62","0","0","0","0","-1","0","4","4","0","-1","1","0"
"63","0","0","0","0","-1","0","3","4","0","0","2","0"
"64","0","0","0","0","-1","0","2","3","0","0","3","0"
"65","0","1","0","0","-1","0","1","2","0","0","4","0"
"66","0","2","0","1","-1","0","0","1","0","0","4","0"
"67","0","3","0","2","-1","0","0","0","0","1","4","0"
"68","0","4","0","3","-1","0","0","0","0","2","3","0"
"69","0","4","0","4","-1","0","0","0","0","3","2","0"
"70","0","4","0","4","-1","0","0","0","0","4","1","1"
"71","0","3","0","4","-1","0","0","0","-1","4","0","2"
"72","0","2","0","3","-1","0","0","0","-1","4","0","3"
"73","0","1","0","2","-1","0","0","0","-1","3","0","4"
"74","0","0","0","1","-1","0","-1","0","-1","2","0","4"
"75","0","0","0","0","-1","0","-1","0","-1","1","0","4"
"76","0","0","1","-1","0","0","-1","-1","-1","0","0","3"
"77","0","0","2","-1","0","0","-1","-1","0","0","0","2"
"78","0","0","3","-1","0","0","-1","-1","0","0","0","1"
"79","1","0","4","-1","0","0","-1","-1","0","0","0","0"
"80","2","0","4","-1","0","0","0","-1","0","0","-1","0"
"81","3","0","4","-1","0","0","0","-1","0","0","-1","0"
"82","4","0","3","-1","0","0","0","-1","0","0","-1","0"
"83","4","0","2","-1","0","0","0","-1","0","0","-1","0"
"84","4","0","1","-1","0","0","0","-1","0","0","-1","0"
"85","3","1","0","0","0","0","0","-1","0","0","-1","0"
"86","2","2","0","0","0","0","0","-1","0","0","0","0"
"87","1","3","0","0","0","1","0","-1","0","0","0","0"
"88","0","4","0","1","0","2","0","0","0","0","0","0"
"89","0","4","0","2","0","3","0","0","0","0","1","0"
"90","0","4","0","3","0","4","0","0","0","0","2","0"
"91","0","3","0","4","0","4","0","0","0","0","3","-1"
"92","0","2","0","4","0","4","0","0","0","0","4","-1"
"93","0","1","0","4","0","3","0","0","0","0","4","-1"
"94","0","0","0","3","0","2","0","0","0","0","4","-1"
"95","0","0","0","2","0","1","0","0","0","0","3","-1"
"96","0","0","0","1","0","2","0","0","0","0","2","-1"
