"sampleTime","1","2","3","4","5","6","7","8","9","10","11","12"
"42","0","0","3","0","4","0","3","4","0","0","0","0"
"43","0","0","4","0","4","0","4","4","0","0","0","0"
"44","0","0","4","0","4","0","4","4","0","1","0","0"
"45","0","0","4","0","3","0","4","3","0","2","0","0"
"46","0","0","3","0","2","0","3","2","0","3","0","0"
"47","0","0","2","0","1","0","2","1","0","4","0","0"
"48","0","0","1","0","0","0","1","0","-1","4","0","-1"
"49","0","0","0","0","0","0","0","0","-1","4","0","-1"
"50","0","0","0","0","0","0","0","0","-1","3","0","-1"
"51","0","0","0","1","0","1","0","0","-1","2","0","-1"
"52","0","0","0","2","0","2","0","0","-1","1","0","-1"
"53","0","0","0","3","0","3","1","0","-1","0","0","-1"
"54","1","0","0","4","0","4","2","0","-1","0","0","-1"
"55","2","0","0","4","0","4","3","0","-1","0","0","-1"
"56","3","0","0","4","0","4","4","1","-1","0","-1","-1"
"57","4","1","0","3","0","3","4","2","0","0","-1","0"
"58","4","2","0","2","0","2","4","3","0","0","-1","0"
"59","4","3","-1","1","0","1","3","4","0","0","-1","0"
"60","3","4","-1","0","0","0","2","4","0","0","-1","0"
"61","2","4","-1","0","0","0","1","4","0","0","-1","0"
"62","1","4","-1","0","1","0","0","3","0","0","-1","0"
"63","0","3","-1","0","2","0","0","2","0","0","-1","0"
"64","0","2","-1","0","3","0","0","1","0","0","-1","1"
"65","0","1","0","0","4","0","0","0","0","0","-1","2"
"66","0","0","0","0","4","-1","0","0","0","0","-1","3"
"67","0","0","0","0","4","-1","0","0","0","0","-1","4"
"68","0","0","0","0","3","-1","0","0","0","0","-1","4"
"69","0","0","0","0","2","-1","0","0","0","0","-1","4"
"70","0","0","0","0","1","-1","1","-1","0","0","-1","3"
"71","0","0","0","0","0","-1","2","-1","0","0","0","2"
"72","0","0","0","0","0","0","3","-1","1","0","0","1"
"73","0","0","0","0","0","0","4","-1","2","0","0","0"
"74","0","-1","0","0","0","0","4","-1","3","0","0","0"
"75","0","-1","0","0","0","0","4","-1","4","0","0","0"
"76","0","-1","0","0","0","0","3","-1","4","0","0","0"
"77","0","-1","0","0","0","0","2","-1","4","0","0","0"
"78","0","-1","0","-1","0","0","1","-1","3","0","0","0"
"79","0","-1","0","-1","0","0","0","-1","2","0","0","0"
"80","0","0","0","-1","-1","0","0","-1","1","0","0","0"
"81","0","0","0","-1","-1","0","0","-1","0","0","0","0"
"82","1","0","0","-1","-1","0","0","0","0","0","0","0"
"83","2","0","1","-1","-1","0","0","0","0","0","0","0"
"84","3","0","2","0","-1","0","0","0","0","1","0","0"
"85","4","0","3","1","-1","0","0","0","1","2","1","0"
"86","4","1","4","2","-1","0","0","0","2","3","2","0"
"87","4","2","4","3","-1","0","0","0","3","4","3","0"
"88","3","3","4","4","-1","0","0","0","4","4","4","0"
"89","2","4","3","4","0","0","-1","0","4","4","4","0"
"90","1","4","2","4","0","0","-1","0","4","3","4","0"
"91","0","4","1","3","0","0","-1","0","3","2","3","0"
"92","0","3","0","2","0","0","-1","0","2","1","2","0"
"93","0","2","0","1","0","0","-1","0","1","0","1","0"
"94","0","1","0","0","0","0","-1","0","0","0","0","0"
"95","0","0","0","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0"
